头实体,尾实体,Probability
广州庚威润滑科技有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市环境保护技术设备公司,地块是否存在特征污染物 | 否,3.619884843
广州市番禺区沙湾江达表面处理材料厂,地块是否存在特征污染物 | 否,3.619884843
广州市华卓化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州钛雅新材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市珠江灯光科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州新天地化学实业有限公司,地块是否存在特征污染物 | 否,3.619884843
依利安达（广州）电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州威立雅资源利用有限公司,地块是否存在特征污染物 | 否,3.619884843
广州汇侨电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州联兴热镀锌有限公司,地块是否存在特征污染物 | 否,3.619884843
广东永顺生物制药股份有限公司（广东永顺生物制药有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州西卡建筑材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区湴湖恒新织造厂,地块是否存在特征污染物 | 否,3.619884843
广州市威成坤电器制造有限公司,地块是否存在特征污染物 | 否,3.619884843
广州今泰科技股份有限公司（广州今泰科技有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州小糸车灯有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市锦兆化工有限公司,地块是否存在特征污染物 | 否,3.619884843
美轲（广州）化学股份有限公司（阿科玛（广州）化学有限公司、美轲（广州）化学有限公司、广州埃尔夫阿托化学陶瓷添加剂有限公司，阿托菲纳（广州）化学有限公司、埃尔夫阿托中国有限公司）,地块是否存在特征污染物 | 否,3.619884843
陶氏化学(广州)有限公司（陶氏化学（广州）有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州公交集团电车有限公司（广州市电车公司）,地块是否存在特征污染物 | 否,3.619884843
波士胶芬得利(中国)粘合剂有限公司（阿托-芬得利（广州）胶黏剂有限公司）,地块是否存在特征污染物 | 否,3.619884843
广合科技（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州康乔汉普药业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市威联达增塑剂有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市机电工业研究所,地块是否存在特征污染物 | 否,3.619884843
广州五丰金属表面处理有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市嘉德涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区欣鑫塑料制品厂,地块是否存在特征污染物 | 否,3.619884843
广州市白云区邦士涂料厂,地块是否存在特征污染物 | 否,3.619884843
广州恒运东区热力有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市汇彩涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
启瑞机械(广州)有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市儒兴科技开发有限公司（广州市儒兴科技开发股份有限公司；广州市儒兴科技股份有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东久量股份有限公司（曾用名：广州市松乐电子科技有限公司、广东久量光电科技有限公司））,地块是否存在特征污染物 | 否,3.619884843
广州中车轨道交通装备有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云汇丰皮革塑料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州艺康印花服饰有限公司,地块是否存在特征污染物 | 否,3.619884843
广东东硕科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州天赐有机硅科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市人和高增电泳厂（人和高增信诚电泳厂）,地块是否存在特征污染物 | 否,3.619884843
广州市美帮祈富文仪有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市嘉澳涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区精良线路板厂,地块是否存在特征污染物 | 否,3.619884843
广州斯坦雷电气有限公司,地块是否存在特征污染物 | 否,3.619884843
广州汤谱建筑装饰材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州齐达材料科技有限公司,地块是否存在特征污染物 | 否,3.619884843
中国石化销售股份有限公司广东石油分公司黄埔油库,地块是否存在特征污染物 | 否,3.619884843
广州永兴环保能源有限公司（李坑二厂）,地块是否存在特征污染物 | 否,3.619884843
广州世洁环保服务有限公司（广州世洁设备租赁服务有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市华驰化工有限公司（增城市必得化工有限公司、增城市华驰化工有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州白云东方热镀锌钢管有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市智立化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州宇进毛绒工业有限公司,地块是否存在特征污染物 | 否,3.619884843
瑞翁化工（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市万佳成塑料有限公司,地块是否存在特征污染物 | 否,3.619884843
长兴（广州）光电材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市千邦化妆品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市萝岗区永和创力电池厂,地块是否存在特征污染物 | 否,3.619884843
广州道顿粉末涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市欧彩涂料化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州人和汉塘电化着色厂,地块是否存在特征污染物 | 否,3.619884843
广州市邦达森化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州展亦涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州超美力特种润滑油有限公司,地块是否存在特征污染物 | 否,3.619884843
广天科技（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市高士实业有限公司,地块是否存在特征污染物 | 否,3.619884843
科美（广州）电子材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市荔威化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市博辰石油制品有限责任公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区江高南岗喷漆加工厂,地块是否存在特征污染物 | 否,3.619884843
广州南鑫药业有限公司,地块是否存在特征污染物 | 否,3.619884843
铃木住电钢线制品（广州）有限公司（住电钢线制品（广州）有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州白云山医药集团股份有限公司白云山制药总厂,地块是否存在特征污染物 | 否,3.619884843
广州稳泰化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州日华化学有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市鑫冶金属制品有限公司,地块是否存在特征污染物 | 否,3.619884843
大成（广州）气体有限公司,地块是否存在特征污染物 | 否,3.619884843
日立电梯（中国）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市凯峰金属涂装有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市帝天印刷材料有限公司（广州市阿尔斯油墨有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州高得针织染整制衣有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市猎德污水处理厂,地块是否存在特征污染物 | 否,3.619884843
广州市中达生物工程有限公司,地块是否存在特征污染物 | 否,3.619884843
广州恒运企业集团股份有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市广农化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州泛亚聚酯有限公司,地块是否存在特征污染物 | 否,3.619884843
广州三合装饰材料有限公司,地块是否存在特征污染物 | 否,3.619884843
南亚塑胶工业（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州二宫（冷锻）汽车配件有限公司,地块是否存在特征污染物 | 否,3.619884843
广州白云恒和精细化工厂,地块是否存在特征污染物 | 否,3.619884843
广州呈和塑料新材料有限公司,地块是否存在特征污染物 | 否,3.619884843
金刚化工(广州)有限公司,地块是否存在特征污染物 | 否,3.619884843
沃特威(广州)电子科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州钢管厂有限公司（广州焊管厂、红旗轧钢厂、广州钢管厂）,地块是否存在特征污染物 | 否,3.619884843
广州市荔湾区粉末静电喷涂厂（广州市芳村区粉末静电喷涂厂）,地块是否存在特征污染物 | 否,3.619884843
广州市雅迪装饰包装有限公司分公司,地块是否存在特征污染物 | 否,3.619884843
广东天海花边有限公司（广州海日花边有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市白云化工实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州南部工程塑料有限公司,地块是否存在特征污染物 | 否,3.619884843
乐金显示（中国）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州艺爱丝纤维有限公司,地块是否存在特征污染物 | 否,3.619884843
广州番禺古西理丰电路板有限公司（曾用名：番禺古西顺永电路板有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东车德宝润滑科技有限公司,地块是否存在特征污染物 | 否,3.619884843
东洋橡塑（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州白云顺成制衣实业公司,地块是否存在特征污染物 | 否,3.619884843
广州市澔德化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市奋宏化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州珠江管业科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市恒润电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区东联实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州白云广福不锈钢金属制品厂,地块是否存在特征污染物 | 否,3.619884843
广州红窗喜粘胶有限公司,地块是否存在特征污染物 | 否,3.619884843
广州道诚环保科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州吉必盛科技实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市萝岗区锦燕装饰材料厂（广州市白云区锦燕装饰材料厂）,地块是否存在特征污染物 | 否,3.619884843
广州百达信化工实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州开发区水质净化管理中心,地块是否存在特征污染物 | 否,3.619884843
广汽本田汽车有限公司（广州本田汽车有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州雅耀电器有限公司(广州市金江化工电子仪表厂）,地块是否存在特征污染物 | 否,3.619884843
金发科技股份有限公司,地块是否存在特征污染物 | 否,3.619884843
广州太平洋马口铁有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区新生实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广东坤豪日华有限公司（原企业名称：广州市乐丞朗化工有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市良成热镀锌有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市聚科聚氨酯有限公司,地块是否存在特征污染物 | 否,3.619884843
卡洛（广州）油墨有限公司（大日精化（广州）油墨有限公司）,地块是否存在特征污染物 | 否,3.619884843
易安爱富（广州）化工科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市富盛达染整有限公司,是否检出地下水污染物超标 | 是,1.118394774
提珂隆(广州)表面技术有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市友创五金制品有限公司（曾用名：广州市友创喷涂电化有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市三国水性油墨有限公司（广州市荣天豪油墨涂料有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州保莱工艺品有限公司（曾用名：广州市番禺润轩饰物制品有限公司、番禺润轩饰物制品有限公司 ）,是否检出地下水污染物超标 | 是,1.118394774
广州白云山医药集团股份有限公司白云山化学制药厂,是否检出地下水污染物超标 | 是,1.118394774
广东达志环保科技股份有限公司（历史用名为：广州市达志化工科技有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州三骏佳纺织合成材料厂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州庚威润滑科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
空气化工产品(广州)有限公司（南方气体产品（广州）有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州二天堂制药有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州庄杰化工有限公司（广州市赛璐化工有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州超邦化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
百草堂医药股份有限公司（广州百草堂药业有限公司）,是否检出地下水污染物超标 | 是,1.118394774
明珠电气股份有限公司（曾用名：广州市番禺明珠电器有限责任公司）,是否检出地下水污染物超标 | 是,1.118394774
广东省中科宏微半导体设备有限公司,是否检出地下水污染物超标 | 是,1.118394774
东华隆(广州)表面改质技术有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州协鑫蓝天燃气热电有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州斯坦雷电气有限公司永和工厂,是否检出地下水污染物超标 | 是,1.118394774
富乐（广州）粘合剂有限公司（福尔波粘合剂（广州）有限公司、慧达（广州）化学有限公司）,是否检出地下水污染物超标 | 是,1.118394774
加特可（广州）自动变速箱有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区林源印花厂（曾用名:广州市白云区新秀印花工艺厂））,是否检出地下水污染物超标 | 是,1.118394774
广州市南风化工有限公司（贵州水晶化工股份有限公司广州分公司）,是否检出地下水污染物超标 | 是,1.118394774
广州贝客音涂料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州国源塑料五金工艺制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
鞍钢联众（广州）不锈钢有限公司（联众（广州）不锈钢有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州番禺美特包装有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州德顿润滑油技术有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区良田锐达丝印器材厂（广州市白云区多华涂料厂）,是否检出地下水污染物超标 | 是,1.118394774
广州柏盛包装有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市斯洛柯高分子聚合物有限公司玉树分公司,是否检出地下水污染物超标 | 是,1.118394774
广州中冠安泰石油化工有限公司（广州技术开发区中穗安泰工贸有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市药材公司中药饮片厂,是否检出地下水污染物超标 | 是,1.118394774
广州宇雷钟表有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州百特侨光医疗用品有限公司荔湾分公司（广州侨光制药有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市铠特电子材料有限公司萝岗分公司,是否检出地下水污染物超标 | 是,1.118394774
广州花语精细化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区新龙实业有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州大港石油科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
迪爱生（广州）油墨有限公司（高氏（广州）油墨有限公司、高氏（广州）涂料有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州斯之创建筑材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州特鲁勃润滑技术有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市兴盛喷涂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州岚茲密封材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州迪斯环保设备工程有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市嘉曜华洗涤用品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州机械科学研究院有限公司（广州机床研究所、广州机械科学研究院、机械工业部广州机床研究所）,是否检出地下水污染物超标 | 是,1.118394774
广州市黄埔华天润滑油有限公司（广州市黄埔区华天润滑油有限公司、广州市天河区华天润滑油有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州人和伟昌电路板厂,是否检出地下水污染物超标 | 是,1.118394774
广州市兴森电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州本立电子有限公司（广州致达电子厂有限公司）,是否检出地下水污染物超标 | 是,1.118394774
华尔（广州）机械装备有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州白云山医药集团股份有限公司白云山何济公制药厂（广州白云山何济公制药有限公司 ）,是否检出地下水污染物超标 | 是,1.118394774
广州埃尔夫润滑油有限公司（埃尔夫润滑油（广州）有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州安迪化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州厚弘五金制品有限公司（广州丰宁电镀制品公司）,是否检出地下水污染物超标 | 是,1.118394774
广州兴森快捷电路科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市雅迪装饰包装有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市黄埔区绘园皮革压花厂,是否检出地下水污染物超标 | 是,1.118394774
广州威华自行车有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州科城环保科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市迅宏粘合剂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州纳士得润滑科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市科灵精细化工有限公司（广东科灵化学清洗技术有限公司）,是否检出地下水污染物超标 | 是,1.118394774
礼恩派（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州华微电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州双科新材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州迈特兴华制药厂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市兴利泰电源材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州松下空调器有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市再腾皮革有限公司 （曾用名：广州市天龙人造革厂、广州市白云区天龙实业有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州天祥皮革制品有限公司（曾用名：广州天祥皮革厂、河南鞋城皮革集团广州天祥皮革厂）,是否检出地下水污染物超标 | 是,1.118394774
安美特（中国）化学有限公司（安美特（广州）化学有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广东农密生物科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州给力源电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州金发碳纤维新材料发展有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州米奇化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州鸿森材料有限公司（广州锂新电池材料有限公司、广州锂新材料有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广东风华芯电科技股份有限公司（历史名称：广东省粤晶高科股份有限公司）,是否检出地下水污染物超标 | 是,1.118394774
亚萨合莱（广州）智能科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州力智农业有限公司（广州力智畜牧有限公司、广州广南畜牧有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市白云粤新印花厂,是否检出地下水污染物超标 | 是,1.118394774
广州盛峰压力克洁具制品有限公司（广州市白云盛峰压力克洁具制品厂）,是否检出地下水污染物超标 | 是,1.118394774
广州忠辉制衣有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东岭南制药有限公司（广东省医药学校附属岭南制药厂、广东省岭南制药厂）,是否检出地下水污染物超标 | 是,1.118394774
广州市千里达实业有限公司（广州市宇泰自行车有限公司，广州市千里达车业有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州珠江气体工业有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市多维工程机械有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市泽丰化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市华达石化有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州赫尔普化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市黄埔区兴发水洗厂,是否检出地下水污染物超标 | 是,1.118394774
广州广日电气设备有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州创越化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市永硕制衣洗水有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东环凯微生物科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州炬联胶粘剂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东省华物汽车拆解有限公司,是否检出地下水污染物超标 | 是,1.118394774
阿克苏诺贝尔高效化学品（广州）有限公司（依卡化学品（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东波斯科技股份有限公司（广州市波斯塑料颜料有限公司）,是否检出地下水污染物超标 | 是,1.118394774
阿克苏诺贝尔太古漆油（广州）有限公司（卜内门太古漆油（中国）有限公司）,是否检出地下水污染物超标 | 是,1.118394774
建峰索具有限公司（广州建峰特纺五金制造有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州宇圣电子材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州虹迪化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
富兰科林(广州)胶粘剂有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市太和电路板有限公司（曾用名：广州市太和电路板厂）,是否检出地下水污染物超标 | 是,1.118394774
广州番禺厚纪电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州人和鹤亭粘胶厂,是否检出地下水污染物超标 | 是,1.118394774
广州赛铭机电设备有限公司,是否检出地下水污染物超标 | 是,1.118394774
中国石化销售股份有限公司广东石油分公司（中国石油化工股份有限公司广东广州石油分公司）,是否检出地下水污染物超标 | 是,1.118394774
广州腾达五金制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州阿雷斯提汽车配件有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区侨航塑胶颜料厂,是否检出地下水污染物超标 | 是,1.118394774
广州美威涂料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市海珠区科艺化工厂,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区万利喷塑厂,是否检出地下水污染物超标 | 是,1.118394774
广州市超彩油墨实业有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州帕卡濑精有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州南星精细化工有限公司（广州市天河区南星精细化工厂、广州市天河区石牌南星精细化工厂）,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区科林涂料厂,是否检出地下水污染物超标 | 是,1.118394774
广州鹏辉能源科技股份有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区肇雄皮革厂,是否检出地下水污染物超标 | 是,1.118394774
广州精至百特利化工科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东南方碱业股份有限公司（广东南方制碱有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州金鹏源康精密电路股份有限公司（金鹏源康(广州)精密电路有限公司、金鹏源康（广州）精密电路有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广东生活环境无害化处理中心（广州医疗废物处理站）,是否检出地下水污染物超标 | 是,1.118394774
乐金显示（广州）有限公司（乐金飞利浦液晶显示（广州）有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州东成吉昌新材料有限公司（广州市东成化学有限公司）,是否检出地下水污染物超标 | 是,1.118394774
长兴(广州)电子材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州琪原新材料股份有限公司（广州琪原新材料有限公司、广州琪原化工有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市志森实业有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州添利电子科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州曙光制动器有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州神崎压铸有限公司（大龙街）,是否检出地下水污染物超标 | 是,1.118394774
广州中粮制罐有限公司,是否检出地下水污染物超标 | 是,1.118394774
飞登(广州)电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
四维尔丸井（广州）汽车零部件有限公司（四维尔邦盛（广州）汽车零部件有限公司）,是否检出地下水污染物超标 | 是,1.118394774
高勋绿色智能装备（广州)有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市宏昌服装印花有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州立邦涂料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区楚风布艺厂,是否检出地下水污染物超标 | 是,1.118394774
广州金兰生化制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州汉高表面技术有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市赛门经济发展有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州斗原钢铁有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州番禺俊柏电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州大岭电子五金制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
三菱电机（广州）压缩机有限公司（广州三菱电机华凌压缩机有限公司）,是否检出地下水污染物超标 | 是,1.118394774
贝格工业涂料（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州三和纺织制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市净水有限公司大坦沙分公司（广州市大坦沙污水处理厂）,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区焊接材料厂,是否检出地下水污染物超标 | 是,1.118394774
广州市冶金工业研究所有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市萝岗区朝龙种植养殖场,是否检出地下水污染物超标 | 是,1.118394774
长兴（广州）精细涂料有限公司,是否检出地下水污染物超标 | 是,1.118394774
海虹老人涂料（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州雄义精密五金有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州昭和汽车零部件有限公司（广州昭和减震器有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市荔盛化学品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州珠江光电新材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市广良畜牧有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州西朗污水处理有限公司（广州莱姆纳西朗污水处理有限公司）,是否检出地下水污染物超标 | 是,1.118394774
富林特(广州)油墨有限公司,是否检出地下水污染物超标 | 是,1.118394774
广美精密钢管（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市弘隆新材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州楚航化工涂料有限公司（广州市增城楚航化工涂料厂）,是否检出地下水污染物超标 | 是,1.118394774
广大科技（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州亚茂塑胶制品有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州德渊精细化工有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州柴油机厂股份有限公司（广州柴油机厂、协同和机器厂）,是否检出地下水污染物超标 | 是,1.118394774
广州艾科新材料股份有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市俊辉合成材料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区亚博塑胶颜料厂,是否检出地下水污染物超标 | 是,1.118394774
广州联油能源有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州合诚实业有限公司,是否检出地下水污染物超标 | 是,1.118394774
玹徹电镀锌钢板（广州）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州鹿山新材料股份有限公司（广州市鹿山化工材料有限公司）,是否检出地下水污染物超标 | 是,1.118394774
本田汽车（中国）有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州同欣康体设备有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州内山工业有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市诺宝涂料有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市白云区良田光明化工厂,是否检出地下水污染物超标 | 是,1.118394774
广州乾丰印花有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市雅宝印花有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市净水有限公司大沙地分公司（广州市污水治理有限责任公司大沙地分公司）,是否检出地下水污染物超标 | 是,1.118394774
广汽菲亚特克莱斯勒汽车有限公司广州分公司,是否检出地下水污染物超标 | 是,1.118394774
广州市雄仁喷粉有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市万绿达集团有限公司（广州市万绿达物资回收有限公司）,是否检出地下水污染物超标 | 是,1.118394774
广州市斯洛柯高分子聚合物有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州美维电子有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州晶和光电科技有限公司,是否检出地下水污染物超标 | 是,1.118394774
广东粤华发电有限责任公司,是否检出地下水污染物超标 | 是,1.118394774
广州凯帆道路交通设施有限公司,是否检出地下水污染物超标 | 是,1.118394774
广州市鸿葳科技股份有限公司,是否检出地下水污染物超标 | 是,1.118394774
